"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"283623","2018-05-29","Veracruz Ignacio de la Llave","Zozocolco de Hidalgo","2016-02-10","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","0","1","0"
"289187","2018-12-31","Veracruz Ignacio de la Llave","San Andrés Tuxtla","2018-07-08","Espacio particular","1 - Familiar","SI","SI","SI","0","1","0","0","0","0"
"289396","2018-04-18","Veracruz Ignacio de la Llave","Tihuatlán","2017-12-01","Espacio particular","1 - Familiar","SI","SE DESCONOCE","SE DESCONOCE","1","1","0","0","0","0"
"291491","2018-05-25","Veracruz Ignacio de la Llave","La Perla","2015-03-26","Espacio particular","1 - Familiar","SI","SE DESCONOCE","SE DESCONOCE","1","1","0","0","0","0"
"292912","2018-06-28","Veracruz Ignacio de la Llave","Ayahualulco","2018-06-28","Espacio particular","1 - Familiar","SI","SI","SI","1","1","0","0","1","0"
"293252","2018-04-12","Veracruz Ignacio de la Llave","Chihuahua","2018-03-28","Desconocido","1 - Familiar","SE","SE DESCONOCE","SE DESCONOCE","0","0","0","0","0","0"
"294448","2018-05-29","Veracruz Ignacio de la Llave","Pánuco","2018-04-26","Espacio particular","1 - Familiar","NO","NO","NO","0","1","0","0","0","0"
"294922","2018-01-05","Veracruz Ignacio de la Llave","Torreón","2017-12-28","Desconocido","1 - Familiar","SE","SE DESCONOCE","SE DESCONOCE","0","0","0","0","0","0"
"294970","2018-01-25","Veracruz Ignacio de la Llave","Tequila","2016-12-01","Espacio particular","1 - Familiar","SI","SE DESCONOCE","SE DESCONOCE","0","0","1","0","0","0"
"295686","2018-07-13","Veracruz Ignacio de la Llave","Nogales","2014-10-23","Espacio particular","1 - Familiar","SI","SE DESCONOCE","SE DESCONOCE","0","1","0","0","0","0"
