"ID","Fecha registro","Estado","Municipio","Escolaridad","Edad","Estado civil","Hijas e hijos","Fuente ingresos"
"283623","2018-05-29","Veracruz Ignacio de la Llave","Zozocolco de Hidalgo","Secundaria","25","Concubinato","0","Desconocido"
"289187","2018-12-31","Veracruz Ignacio de la Llave","San Andrés Tuxtla","Secundaria","26","Concubinato","0","Desconocido"
"289396","2018-04-18","Veracruz Ignacio de la Llave","Tihuatlán","No identificado","37","Concubinato","0","Desconocido"
"291491","2018-05-25","Veracruz Ignacio de la Llave","La Perla","No identificado","35","Concubinato","0","Desconocido"
"292912","2018-06-28","Veracruz Ignacio de la Llave","Ayahualulco","Primaria","40","Concubinato","0","Desconocido"
"294448","2018-05-29","Veracruz Ignacio de la Llave","Pánuco","Secundaria","15","No identificado","0","Desconocido"
"294970","2018-01-25","Veracruz Ignacio de la Llave","Tequila","No identificado","14","Soltera","0","Desconocido"
"295686","2018-07-13","Veracruz Ignacio de la Llave","Nogales","No identificado","46","Casada","0","Desconocido"
"296008","2018-02-09","Veracruz Ignacio de la Llave","Tlapacoyan","No identificado","11","Soltera","0","Desconocido"
"296085","2018-12-12","Veracruz Ignacio de la Llave","Veracruz","Secundaria","33","Casada","0","Desconocido"
